x,y,path,stage
1069.3265380859375,397.1742858886719,0,1
1073.4853515625,405.0669860839844,1,1
1073.5963134765625,406.4048767089844,2,1
1068.2437744140625,397.9598388671875,3,1
1066.310791015625,394.689453125,4,1
1061.0631103515625,389.479248046875,5,1
1052.2021484375,387.7610778808594,6,1
1051.30078125,381.3802795410156,7,1
1052.2823486328125,378.4191284179688,8,1
1059.9088134765625,379.3868408203125,9,1
1067.567138671875,379.6896057128906,10,1
1059.72802734375,375.9265747070313,11,1
1049.583251953125,386.5613403320313,12,1
1040.2817993164062,382.8648071289063,13,1
1030.9963989257812,379.1287841796875,14,1
1021.6685180664062,375.4994201660156,15,1
1012.3649291992188,371.8088989257813,16,1
1003.08544921875,368.0575256347656,17,1
993.7948608398438,364.3338317871094,18,1
984.4884033203124,360.64990234375,19,1
975.1819458007812,356.9659423828125,20,1
965.8661499023438,353.3058776855469,21,1
956.5196533203124,349.73492431640625,22,1
947.3497924804688,345.8785400390625,23,1
953.8362426757812,348.9746398925781,24,1
944.0181274414062,346.8021850585937,25,1
934.8818969726562,343.1590881347656,26,1
926.4793701171876,337.975341796875,27,1
917.240478515625,334.0148620605469,28,1
908.6514282226562,331.4959411621094,29,1
917.4070434570312,335.8725891113281,30,1
926.7865600585938,339.4975891113281,31,1
934.66357421875,345.3192443847656,32,1
944.142333984375,348.37030029296875,33,1
953.9790649414062,350.4565734863281,34,1
908.8616333007812,330.5360717773437,35,1
899.3736572265625,326.7598876953125,36,1
889.8982543945312,322.9520568847656,37,1
880.37109375,319.27587890625,38,1
870.90576171875,315.4429931640625,39,1
861.4462890625,311.5957336425781,40,1
851.9994506835938,307.717529296875,41,1
842.5110473632812,303.9432373046875,42,1
832.9971923828125,300.2326354980469,43,1
823.567138671875,296.313720703125,44,1
814.1256103515625,292.4226379394531,45,1
804.6719360351562,288.56109619140625,46,1
796.7879638671875,287.8648681640625,47,1
797.4248657226562,285.5772399902344,48,1
788.3433227539062,281.8508605957031,49,1
779.2271118164062,278.2097473144531,50,1
774.2264404296875,271.8193054199219,51,1
774.597900390625,262.0099182128906,52,1
775.0838623046875,252.2064666748047,53,1
776.5864868164062,242.52532958984372,54,1
779.7254638671875,233.26145935058597,55,1
783.7208862304688,224.2949066162109,56,1
787.7162475585938,215.32835388183597,57,1
791.884765625,206.46539306640625,58,1
797.8977661132812,198.7061462402344,59,1
803.9107666015625,190.94688415527344,60,1
809.9237670898438,183.1876220703125,61,1
815.9247436523438,175.41908264160156,62,1
820.5977172851562,166.91648864746094,63,1
822.0289916992188,157.22926330566406,64,1
823.14208984375,147.47613525390625,65,1
